Covidence #,Study ID,Title,Reviewer Name,Does the study include a socio-environmental model?,Country / region in which the study is focused ,State?,Regional_Global,Miscellaneous Notes,Type of Model,Does the study quantify model uncertainty? ,How does this model quantify uncertainty?,Does the model uncertainty approach fall into any of the following categories? 
178,Pontius 2010,Land transition estimates from erroneous maps,Consensus,No,NA,NA,,Overlays two maps then calculates land change - not really a model,,Other: ,,
179,Tabasi 2022,Spatial Modeling of COVID-19 Prevalence Using Adaptive Neuro-Fuzzy Inference System,Consensus,Yes,Iran,,,,Other: Adaptive neuro-fuzzy inference system and principal component analysis,Yes, Sensitivity analysis,Model specification
180,Ali 2015,"Coupled Human-Environment Dynamics of Forest Pest Spread and Control in a Multi-Patch, Stochastic Setting",Consensus,Yes,Canada,NA,,,System dynamics model; Biophysical model,Yes, Sensitivity analysis,Model specification
182,Gower 2016,Modeling ecohydrological dynamics of smallholder strategies for food production in dryland agricultural systems,Consensus,Yes,Kenya,NA,,,Agent-based model,No,,
184,Magliocca 2019,Modeling cocaine traffickers and counterdrug interdiction forces as a complex adaptive system,Consensus,Yes,USA,STATE,,Used agent-based model but not really any environmental; only one mention of sensitivity analysis and it wasn't really specified how it was performed,Agent-based model,Yes, Sensitivity analysis,Model specification
185,Shahumyan 2017,"Integration of land use, land cover, transportation, and environmental impact models: Expanding scenario analysis with multiple modules",Consensus,Yes,USA,STATE,,,Other: Uses 5 coupled models and unsure how to categorize each,No,,
187,Ganguly 2021,A multifaceted risk assessment approach using statistical learning to evaluate socio-environmental factors associated with regional felony and misdemeanor rates,Consensus,No,USA,STATE,,,,Other: ,,
190,Gopal 2018,Conceptual frameworks for the drivers and barriers of integrated sustainable solid waste management: A TISM approach,Consensus,Yes,India,NA,,,Conceptual model (non-quantitative),No,,
191,Wimhurst 2023,Using logistic regression-cellular automata to project future sites for commercial wind energy development,Consensus,Yes,USA,STATE,,,Other: Logistic Regression-Cellular Automata (LRCA),Yes, Sensitivity analysis,Knowledge of the system; Spatial and temporal scale issues; Empirical data limitations
192,Wimhurst 2023,Predicting commercial wind farm site suitability in the conterminous United States using a logistic regression model,Consensus,Yes,USA,,,,Other: Logistic regression,Yes,Validation / cross-validation (using empirical data);  Sensitivity analysis,Model specification; Spatial and temporal scale issues; Spatial dependence & heterogeneity issues; Empirical data limitations
194,Alonzo 2021,Mapping and quantifying land cover dynamics using dense remote sensing time series with the user-friendly pyNITA software,Consensus,Yes,"USA, Colombia, Ethiopia",,"US, Colombia, Ethiopia",,Other,Yes, Sensitivity analysis,Spatial and temporal scale issues; Computing limitations
195,Luus 2013,Representing ecological processes in agent-based models of land use and cover change,Consensus,No,NA,,,,,No,,
196,Hernández-Cedeño 2021,Social and environmental conflict analysis on energy projects: Bayesian predictive network approach,Consensus,Yes,Mexico ,NA,,"Do not quantify uncertainty, but the authors do acknowledge the limitations and employ some strategies to address uncertainty, e.g. incorporating expert judgement ",Other: Diagnostic Bayesian Network,No,,
198,Han 2022,Agent-based Modeling to Evaluate Human-Environment Interactions in Community Flood Risk Mitigation,Consensus,Yes,USA,,,,Agent-based model,Yes, Sensitivity analysis,Model specification
200,Student 2020,A dynamic vulnerability approach for tourism destinations,Consensus,Yes,Other,NA,Caribbean Islands,,Agent-based model; Conceptual model (non-quantitative),No,,
201,Sterling 2019,"Try, try again: Lessons learned from success and failure in participatory modeling",Consensus,No,NA,NA,,"Reflection of a modeling approach, not an actual model",,Other: ,,
203,Magliocca 2015,From meta-studies to modeling: Using synthesis knowledge to build broadly applicable process-based land change models,Consensus,Yes,None_Unspecified,NA,,"this study describes how to create models, so may not qualify ",Conceptual model (non-quantitative),Yes,Other: pattern-oriented modeling (POM),Model specification
204,Pontius 2018,Lessons and Challenges in Land Change Modeling Derived from Synthesis of Cross-Case Comparisons,Consensus,No,NA,NA,,This is a chapter in a book that compares the uncertainties in the results of various studies.,,Other: ,,
205,Jager 2022,Using Bayesian Belief Networks to Investigate Farmer Behavior and Policy Interventions for Improved Nitrogen Management,Consensus,Yes,USA,STATE,,,Other: Bayesian belief network,Yes,Validation / cross-validation (using empirical data); Other: Prediction Improvement Value,Model specification; Empirical data limitations
206,Walker 2023,Predicting the geographic distribution of ancient Amazonian archaeological sites with machine learning,Consensus,Yes,Other,NA,Amazonia ,,Other: Machine learning,Yes,Validation / cross-validation (using empirical data),Spatial and temporal scale issues
208,Thorel 2018,Socio-environmental implications of process-based restoration strategies in large rivers: should we remove novel ecosystems along the Rhone (France)?,Consensus,Yes,France,NA,,,Conceptual model (non-quantitative),No,,
209,McDonald 2014,Water on an urban planet: Urbanization and the reach of urban water infrastructure,Consensus,Yes,Global,NA,Global,,Biophysical model; Other: Summary statistics obtained from different water stress and other ancillary models,No,,
210,Runfola 2013,"A growing concern? Examining the influence of lawn size on residential water use in suburban Boston, MA, USA",Consensus,Yes,USA,,,"Three models - regression, GEOMOD application to project urban growth, then application of the regression covariates. Only focused on the final one as it's what the study builds to. ","Other: GEOMOD seems most similar to a cellular automata model, and they use ordinary kriging to project water use",No,,
211,Gou 2016,The Role of Maps in Capturing Distal Drivers of Deforestation and Degradation: A Case Study in Central Mozambique,Consensus,Yes,Mozambique,,,,Biophysical model,No,,
212,Kim 2014,"Assessment of future water resources and water scarcity considering the factors of climate change and social-environmental change in Han River basin, Korea",Consensus,Yes,Korea,NA,,,"Other: Multi-Regression, SLURP model, RegCM3 model. ",Yes, Sensitivity analysis,Model specification
213,Hamstead 2018,Geolocated social media as a rapid indicator of park visitation and equitable park access,Consensus,Yes,USA,NEW YORK,,,Other: Regression model,No,,
214,Keyel 2021,A proposed framework for the development and qualitative evaluation of West Nile virus models and their application to local public health decision-making,Consensus,No,USA,,,Review paper,,No,,
215,Birnbaum 2022,Drivers of Future Physical Water Scarcity and Its Economic Impacts in Latin America and the Caribbean,Consensus,Yes,Other,NA,Latin America and the Caribbean (LAC),,"Other: dynamic-recursive partial equilibrium model (GCAM, a type of IAM)",Yes,Sensitivity analysis using factorial design,Model specification; Knowledge of the system; Computing limitations; Spatial dependence & heterogeneity issues
219,Angulo 2014,A continuous bi-level model for the expansion of highway networks,Consensus,Yes,Spain,NA,,,Other: continuous location model,Yes,Validation / cross-validation (using empirical data),Model specification
220,Hu 2023,Reliable design of urban surface-underground integrated logistics system network with stochastic demand and social-environmental concern,Consensus,Yes,China,NA,,,System dynamics model,Yes, Sensitivity analysis,Knowledge of the system; Empirical data limitations
221,Ocampo-Melgar 2022,Cooperation under conflict: participatory hydrological modeling for science policy dialogues for the Aculeo Lake,Consensus,Yes,Chile,NA,,,Other: Participatory hydrological modeling,No,,
222,Pinheiro 2019,From decision-making to Oceans Accounts: A case study,Consensus,Yes,Portugal,NA,,,"Other: Geostatistical model based on Oceans 
Accounts framework",No,,
228,LaTorre 2017,Pollution Control Under Uncertainty and Sustainability Concern,Consensus,Yes,None_Unspecified,NA,,,Other: The study uses a stochastic optimal control model which incorporates elements of 1. Optimal control theory to determine the best course of action to achieve a desired outcome. 2. Stochastic processes that account for uncertainty and randomness in the system.,Yes,Other: The model incorporates a standard deviation term (σ) to represent the variability or uncertainty associated with pollution levels. This standard deviation is estimated from historical data on CO2 concentrations.,Knowledge of the system; Empirical data limitations
233,Martínez 2023,Coupled Model for Assessing the Present and Future Watershed Vulnerabilities to Climate Change Impacts,Consensus,Yes,Mexico,NA,,,Other: Artificial Neural Networks,Yes,Other: Monte Carlo simulation,Knowledge of the system; Spatial and temporal scale issues; Computing limitations; Empirical data limitations
234,Obiedat 2013,Fuzzy representation and aggregation of fuzzy cognitive maps,Consensus,No,NA,NA,,,Other: Fuzzy Cognitive Maps,No,,
241,Zellner 2008,Embracing complexity and uncertainty: The potential of agent-based modeling for environmental planning and policy,Consensus,Yes,USA,MICHIGAN,,,Agent-based model,No,,
242,Mishra 2024,Evaluation and Prioritization of Sustainable Enterprise Resource Planning in SMEs Using q-Rung Orthopair Fuzzy Rough Set-Based Decision Support Model,Consensus,Yes,India,NA,,,Other: q-Rung Orthopair Fuzzy Rough Set-Based Decision Support Model,Yes, Sensitivity analysis,Model specification; Knowledge of the system; Empirical data limitations
244,Strickert 2009,Resilience models for New Zealand's Alpine Skiers based on people's knowledge and experience: A mixed method and multi-step fuzzy cognitive mapping approach,Consensus,Yes,New Zealand,NA,,,Conceptual model (non-quantitative); Other: Multi-step fuzzy cognitive mapping approach (Artificial Neural Networks) ,No,,
246,Convertino 2014,Optimal surveillance system design for outbreak source detection maximization: A vol model,Consensus,Yes,USA,STATE,,,Other: traceback model of disease outbreak,Yes, Sensitivity analysis; Other: Global sensitivity and uncertainty analysis,Model specification; Knowledge of the system
250,Hansen 2007,An adaptive land-use simulation model for integrated coastal zone planning,Consensus,Yes,Europe,NA,,,Other: cell-based simulation approach,Yes,Validation / cross-validation (using empirical data);  Sensitivity analysis,Model specification; Spatial and temporal scale issues; Empirical data limitations
256,Ferri 2015,An approach to urban regeneration by game theory and decisions,Consensus,No,NA,,,,,No,,
257,Kelic 2013,Decision framework for evaluating the macroeconomic risks and policy impacts of cyber attacks,Consensus,No,NA,NA,,,,Other: ,,
261,Pourmehdi 2020,Scenario-based design of a steel sustainable closed-loop supply chain network considering production technology,Consensus,Yes,Iran,NA,,,Other: Multi-objective optimization,Yes,Other: Stochastic programming,Knowledge of the system; Empirical data limitations
264,Ren 2019,Spatially explicit simulation of land use/land cover changes: Current coverage and future prospects,Consensus,Yes,None_Unspecified,NA,,review paper,Agent-based model; System dynamics model,No,,
266,Small 2018,A human-environmental network model for assessing coastal mitigation decisions informed by imperfect climate studies,Consensus,Yes,USA,,,,Other: Bayesian network model,Yes, Sensitivity analysis,Model specification; Knowledge of the system
267,Kocabas 2004,Sensitivity analysis of a GIS-based cellular automata model,Consensus,Yes,USA,STATE,,Question: do we automatically consider CA models as ABMs?,Other: GIS-based cellular automata urban growth model,Yes, Sensitivity analysis,Model specification; Knowledge of the system; Empirical data limitations
268,Viana 2021,A Decision Support System for Multidimensional Risk Evaluation of Natural Gas Pipelines,Consensus,Yes,None_Unspecified,NA,,,System dynamics model,Yes, Sensitivity analysis,Knowledge of the system
269,Grêt-Regamey 2013,Facing uncertainty in ecosystem services-based resource management,Consensus,Yes,Switzerland,NA,,,System dynamics model; Other: The spatially explicit risk approach links Bayesian networks to a Geographic Information System for forecasting the value of a bundle of ecosystem services and quantifies the uncertainties related to the outcomes in a spatially explicit manner.,Yes, Sensitivity analysis,Model specification; Knowledge of the system; Spatial and temporal scale issues; Empirical data limitations
275,Little 2019,"A tiered, system-of-systems modeling framework for resolving complex socio-environmental policy issues",Consensus,Yes,USA,STATE,,,Conceptual model (non-quantitative),"Other: Yes (well, they outline how one might quantify uncertainty but don't do it themselves)","Sensitivity analysis using factorial design; Other: For example, the adoption of integrated uncertainty assessment approaches which consider the various sources of uncertainty throughout the modeling process and their implications for the modeling purpose. ",Model specification; Knowledge of the system
279,Carvajal 2019,Challenges for hydropower-based nationally determined contributions: a case study for Ecuador,Consensus,Yes,Ecuador,NA,,,System dynamics model,Yes,Sensitivity analysis using factorial design,Model specification; Knowledge of the system
280,Jin 2010,A multistage scenario-based inexact fuzzy-stochastic chance-constrained programming for water resources management under uncertainty,Consensus,Yes,None_Unspecified,NA,,No clear study area. Appears to use hypothetical requirements for model. Just uses intervals as a sensitivity analysis approach. ,System dynamics model,Yes, Sensitivity analysis,Knowledge of the system
285,Farmani 2008,An evolutionary Bayesian belief network-based methodology for adaptive water management,Consensus,Yes,None_Unspecified,NA,,,Other: Bayesian Belief Networks,No,,
286,Carper 2021,Quantifying the transient shock response of dynamic agroecosystem variables for improved socio-environmental resilience,Consensus,Yes,Pakistan,,,coupled biophysical and socioeconomic model,Biophysical model; Other: coupled biophysical and socioeconomic model,No,,
287,Neumann 2021,Implementation of a watershed modelling framework to support adaptive management in the Canadian side of the Lake Erie basin,Consensus,Yes,USA,STATE,,,System dynamics model,Yes,Validation / cross-validation (using empirical data),Model specification; Knowledge of the system; Spatial and temporal scale issues; Spatial dependence & heterogeneity issues; Empirical data limitations
288,Barhagh 2021,System dynamics to assess the effectiveness of restoration scenarios for the Urmia Lake: A prey-predator approach for the human-environment uncertain interactions,Consensus,Yes,Iran,NA,,,System dynamics model,Yes, Sensitivity analysis,Knowledge of the system; Spatial and temporal scale issues; Empirical data limitations
289,BaoLe 2012,Comparison of two common empirical methods to model land-use choices in a multi-agent system simulation of landscape transition: Implication for a hybrid approach,Consensus,Yes,Vietnam,NA,,,Agent-based model,Yes,Validation / cross-validation (using empirical data),Model specification; Computing limitations; Empirical data limitations
302,Jaax 2024,"Tracing nitrogen pollution from wastewater on an oceanic, touristic island: Integrating local knowledge and uncertainty into a mass balance modeling approach",Consensus,Yes,Colombia,NA,,,System dynamics model; Conceptual model (non-quantitative); Other: mass balance model,Yes,Sensitivity analysis using factorial design; Other: Monte Carlo simulation,Model specification; Knowledge of the system; Spatial dependence & heterogeneity issues; Empirical data limitations
303,Song 2024,Multi-Dimensional Collaborative Optimization Model for Agricultural Water Rights Based on Water Price Reform under Changing Environment,Consensus,Yes,China,NA,,,System dynamics model,Yes, Sensitivity analysis; Other: intuitive fuzzy number,Model specification; Knowledge of the system; Spatial and temporal scale issues; Empirical data limitations
306,Wandersee 2012,"Perception and decisions in modeling coupled human and natural systems: A case study from Fanjingshan National Nature Reserve, China",Consensus,Yes,China,NA,,,Conceptual model (non-quantitative); Other: conceptual model plus a multiple logistic regression model,Yes, Sensitivity analysis; Other: described their uncertainty quantifications as confidence interval calculations and simulations,Model specification
307,Silva 2018,A bottom-up methodology for long term electricity consumption forecasting of an industrial sector - Application to pulp and paper sector in Brazil,Consensus,No,NA,NA,,The paper has environmental implications but the model they applied to predict electricity consumption doesn't have any environmental elements.,,Other: ,,
308,Walsh 2008,"Complexity theory, spatial simulation models, and land use dynamics in the Northern Ecuadorian Amazon",Consensus,Yes,Ecuador,,,,Other: Cellular Automata,Yes,Validation / cross-validation (using empirical data),Model specification; Knowledge of the system
309,Bischof 2010,"Negotiating uncertainty: Framing attitudes, prioritizing issues, and finding consensus in the coral reef environment management ""crisis""",Consensus,No,NA,NA,,,,,,
